name,name_link,gender,state,state_link,position,appointed_by,appointed_by_link
Earl Warren,https://en.wikipedia.org/wiki/Earl_Warren,male,CA,https://en.wikipedia.org/wiki/California,"Chief
Justice",Dwight D. Eisenhower,https://en.wikipedia.org/wiki/Dwight_D._Eisenhower
John Marshall Harlan II,https://en.wikipedia.org/wiki/John_Marshall_Harlan_II,male,NY,https://en.wikipedia.org/wiki/New_York_(state),"Associate
Justice",Dwight D. Eisenhower,https://en.wikipedia.org/wiki/Dwight_D._Eisenhower
William J. Brennan,https://en.wikipedia.org/wiki/William_J._Brennan,male,NJ,https://en.wikipedia.org/wiki/New_Jersey,"Associate
Justice",Dwight D. Eisenhower,https://en.wikipedia.org/wiki/Dwight_D._Eisenhower
Charles Evans Whittaker,https://en.wikipedia.org/wiki/Charles_Evans_Whittaker,male,MO,https://en.wikipedia.org/wiki/Missouri,"Associate
Justice",Dwight D. Eisenhower,https://en.wikipedia.org/wiki/Dwight_D._Eisenhower
Potter Stewart,https://en.wikipedia.org/wiki/Potter_Stewart,male,OH,https://en.wikipedia.org/wiki/Ohio,"Associate
Justice",Dwight D. Eisenhower,https://en.wikipedia.org/wiki/Dwight_D._Eisenhower
Byron White,https://en.wikipedia.org/wiki/Byron_White,male,CO,https://en.wikipedia.org/wiki/Colorado,"Associate
Justice",John F. Kennedy,https://en.wikipedia.org/wiki/John_F._Kennedy
Arthur Goldberg,https://en.wikipedia.org/wiki/Arthur_Goldberg,male,IL,https://en.wikipedia.org/wiki/Illinois,"Associate
Justice",John F. Kennedy,https://en.wikipedia.org/wiki/John_F._Kennedy
Abe Fortas,https://en.wikipedia.org/wiki/Abe_Fortas,male,TN,https://en.wikipedia.org/wiki/Tennessee,"Associate
Justice",Lyndon B. Johnson,https://en.wikipedia.org/wiki/Lyndon_B._Johnson
Thurgood Marshall,https://en.wikipedia.org/wiki/Thurgood_Marshall,male,NY,https://en.wikipedia.org/wiki/New_York_(state),"Associate
Justice",Lyndon B. Johnson,https://en.wikipedia.org/wiki/Lyndon_B._Johnson
Warren E. Burger,https://en.wikipedia.org/wiki/Warren_E._Burger,male,VA,https://en.wikipedia.org/wiki/Virginia,"Chief
Justice",Richard Nixon,https://en.wikipedia.org/wiki/Richard_Nixon
Harry Blackmun,https://en.wikipedia.org/wiki/Harry_Blackmun,male,MN,https://en.wikipedia.org/wiki/Minnesota,"Associate
Justice",Richard Nixon,https://en.wikipedia.org/wiki/Richard_Nixon
Lewis Franklin Powell Jr.,https://en.wikipedia.org/wiki/Lewis_Franklin_Powell_Jr.,male,VA,https://en.wikipedia.org/wiki/Virginia,"Associate
Justice",Richard Nixon,https://en.wikipedia.org/wiki/Richard_Nixon
William Rehnquist,https://en.wikipedia.org/wiki/William_Rehnquist,male,AZ,https://en.wikipedia.org/wiki/Arizona,"Associate
Justice",Richard Nixon,https://en.wikipedia.org/wiki/Richard_Nixon
John Paul Stevens,https://en.wikipedia.org/wiki/John_Paul_Stevens,male,IL,https://en.wikipedia.org/wiki/Illinois,"Associate
Justice",Gerald Ford,https://en.wikipedia.org/wiki/Gerald_Ford
